stid,name,lat,lon,date_time,wind_speed,wind_direction
0512W,Hofstra University South Campus,40.71308,-73.59826,2026-01-02T00:10:00Z,2.233,319.0
0512W,Hofstra University South Campus,40.71308,-73.59826,2026-01-02T00:20:00Z,4.023,308.0
0512W,Hofstra University South Campus,40.71308,-73.59826,2026-01-02T00:30:00Z,4.023,301.0
0512W,Hofstra University South Campus,40.71308,-73.59826,2026-01-02T00:40:00Z,3.128,302.0
0512W,Hofstra University South Campus,40.71308,-73.59826,2026-01-02T00:50:00Z,1.343,340.0
0512W,Hofstra University South Campus,40.71308,-73.59826,2026-01-02T01:00:00Z,1.343,315.0
0512W,Hofstra University South Campus,40.71308,-73.59826,2026-01-02T01:10:00Z,1.79,338.0
0512W,Hofstra University South Campus,40.71308,-73.59826,2026-01-02T01:20:00Z,1.343,317.0
0512W,Hofstra University South Campus,40.71308,-73.59826,2026-01-02T01:30:00Z,2.233,315.0
0512W,Hofstra University South Campus,40.71308,-73.59826,2026-01-02T01:40:00Z,1.343,318.0
0512W,Hofstra University South Campus,40.71308,-73.59826,2026-01-02T01:50:00Z,0.895,319.0
0512W,Hofstra University South Campus,40.71308,-73.59826,2026-01-02T02:00:00Z,1.343,10.0
0512W,Hofstra University South Campus,40.71308,-73.59826,2026-01-02T02:10:00Z,0.448,348.0
0512W,Hofstra University South Campus,40.71308,-73.59826,2026-01-02T02:20:00Z,1.343,326.0
0512W,Hofstra University South Campus,40.71308,-73.59826,2026-01-02T02:30:00Z,0.0,0.0
0512W,Hofstra University South Campus,40.71308,-73.59826,2026-01-02T02:40:00Z,0.895,304.0
0512W,Hofstra University South Campus,40.71308,-73.59826,2026-01-02T02:50:00Z,0.0,0.0
0512W,Hofstra University South Campus,40.71308,-73.59826,2026-01-02T03:00:00Z,0.0,0.0
0512W,Hofstra University South Campus,40.71308,-73.59826,2026-01-02T03:10:00Z,0.448,280.0
0512W,Hofstra University South Campus,40.71308,-73.59826,2026-01-02T03:20:00Z,0.895,202.0
0512W,Hofstra University South Campus,40.71308,-73.59826,2026-01-02T03:30:00Z,0.895,200.0
0512W,Hofstra University South Campus,40.71308,-73.59826,2026-01-02T03:40:00Z,1.343,192.0
0512W,Hofstra University South Campus,40.71308,-73.59826,2026-01-02T03:50:00Z,1.343,194.0
0512W,Hofstra University South Campus,40.71308,-73.59826,2026-01-02T04:00:00Z,0.448,188.0
0512W,Hofstra University South Campus,40.71308,-73.59826,2026-01-02T04:10:00Z,0.895,182.0
0512W,Hofstra University South Campus,40.71308,-73.59826,2026-01-02T04:20:00Z,1.343,242.0
0512W,Hofstra University South Campus,40.71308,-73.59826,2026-01-02T04:30:00Z,0.895,253.0
0512W,Hofstra University South Campus,40.71308,-73.59826,2026-01-02T04:40:00Z,1.79,241.0
0512W,Hofstra University South Campus,40.71308,-73.59826,2026-01-02T04:50:00Z,2.233,244.0
0512W,Hofstra University South Campus,40.71308,-73.59826,2026-01-02T05:00:00Z,4.023,236.0
0512W,Hofstra University South Campus,40.71308,-73.59826,2026-01-02T05:10:00Z,1.79,257.0
0512W,Hofstra University South Campus,40.71308,-73.59826,2026-01-02T05:20:00Z,1.343,242.0
0512W,Hofstra University South Campus,40.71308,-73.59826,2026-01-02T05:30:00Z,0.895,243.0
0512W,Hofstra University South Campus,40.71308,-73.59826,2026-01-02T05:40:00Z,3.575,239.0
0512W,Hofstra University South Campus,40.71308,-73.59826,2026-01-02T05:50:00Z,1.343,235.0
0512W,Hofstra University South Campus,40.71308,-73.59826,2026-01-02T06:00:00Z,3.128,254.0
